brand_id,name,category_id,updated_at,is_active,store_id
12,Azarine C White Day Cream Spf 30 25gr,1,2024-01-16 04:50:55,1,1
12,Azarine C White Eye Luminate Firming Serum 15ml,1,2024-01-16 04:50:55,1,1
12,Azarine C White Multi-acids Glowing Toner 90ml,1,2024-01-16 04:50:55,1,1
12,Azarine C White Night Moisturizer 25gr,1,2024-01-16 04:50:55,1,1
12,Azarine Calm My Acne Sunscreen 40g,1,2024-01-16 04:50:55,1,1
12,Azarine Calming Skinpair Serum 20ml,1,2024-01-16 04:50:55,1,1
12,Azarine Cicamide Barrier Sunscreen SPF 35,1,2024-01-16 04:50:55,1,1
12,Azarine Daily Beginner Exfoliatiing Toner ,1,2024-01-16 04:50:55,1,1
12,Azarine Daily Defender Multivitamin Serum,1,2024-01-16 04:50:55,1,1
12,Azarine Face Mist,1,2024-01-16 04:50:55,1,1
12,Azarine Fresh Radiant Brightening Scrub 50g,1,2024-01-16 04:50:55,1,1
12,Azarine Hydramax-C Sunscreen 40ml,1,2024-01-16 04:50:55,1,1
12,Azarine Hydrasoothe Sunscreen Mist 60ml,1,2024-01-16 04:50:55,1,1
12,Azarine Hydrasoothe Sunscreen SPF 45 30ml,1,2024-01-16 04:50:55,1,1
12,Azarine Hydrasoothe Sunscreen SPF 45 50ml,1,2024-01-16 04:50:55,1,1
12,Azarine Intense Luminous Barrier Moist (biru),1,2024-01-16 04:50:55,1,1
12,Azarine Marvel Acne Spot Serum 20ml,1,2024-01-16 04:50:55,1,1
12,Azarine Marvel Aha-bha-pha Peeling Serum 20ml,1,2024-01-16 04:50:55,1,1
12,Azarine Marvel Hydramax Water Bank Serum 20ml,1,2024-01-16 04:50:55,1,1
12,Azarine Marvel Miracle Oil Serum 20ml,1,2024-01-16 04:50:55,1,1
12,Azarine Marvel Niacinamide 5% Serum 20ml,1,2024-01-16 04:50:55,1,1
12,Azarine Marvel Pore Tightening Serum 20ml,1,2024-01-16 04:50:55,1,1
12,Azarine Marvel Radiant Luminous Serum ,1,2024-01-16 04:50:55,1,1
12,Azarine Marvel Retinol Smooth Glowing Serum ,1,2024-01-16 04:50:55,1,1
12,Azarine Moisture Rich Hydrating Toner 90ml,1,2024-01-16 04:50:55,1,1
12,Azarine Polypeptide Fresh Vitality Toner ,1,2024-01-16 04:50:55,1,1
12,Azarine Pure Radiance Barrier Moist (hijau),1,2024-01-16 04:50:55,1,1
12,Azarine Purifying Deep Cleansing Clay Mask 60gr,1,2024-01-16 04:50:55,1,1
12,Azarine Revitalizing Anti Aging Serum 20ml,1,2024-01-16 04:50:55,1,1
12,Azarine Tone Up Mineral Sunscreen Serum 27ml,1,2024-01-16 04:50:55,1,1
12,Azarine Vitamin Lab Let It Glow Hydraveil Primer Serum 20ml,1,2024-01-16 04:50:55,1,1
12,Azarine Vitamin Lab Matte My Day Hydraveil Primer Serum 20ml,1,2024-01-16 04:50:55,1,1
13,Azrina Acne Purifying Clay Mask,1,2024-01-16 04:50:55,1,1
13,Azrina Pure Charcoal Mud Mask 50ml,1,2024-01-16 04:50:55,1,1
1,Bandana,1,2024-01-16 04:50:55,1,1
14,Beaudelab Collagen Powder Drink | Newlab+ Collagen Drink,1,2024-01-16 04:50:55,1,1
1,Beauty Blender Young Beauty,1,2024-01-16 04:50:55,1,1
15,Bio Beauty Lab Acne Treatment Facial Oil Serum 10ml,1,2024-01-16 04:50:55,1,1
15,Bio Beauty Lab Acne Treatment Facial Oil Serum 5ml,1,2024-01-16 04:50:55,1,1
